,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len
3082,3082,450,40,Phrases came.,phrases came ,13,2
3083,3083,450,40,Visions came.,visions came ,13,2
3084,3084,450,40,Beautiful pictures.,beautiful pictures ,19,2
3085,3085,450,40,Beautiful phrases.,beautiful phrases ,18,2
3086,3086,450,40,"But what she wished to get hold of was that very jar on the nerves, the thing itself before it has been made anything.",but what she wished to get hold of was that very jar on the nerves  the thing itself before it has been made anything ,118,24
3087,3087,450,40,"Get that and start afresh; get that and start afresh; she said desperately, pitching herself firmly again before her easel.",get that and start afresh  get that and start afresh  she said desperately  pitching herself firmly again before her easel ,123,20
3088,3088,450,40,"It was a miserable machine, an inefficient machine, she thought, the human apparatus for painting or for feeling; it always broke down at the critical moment; heroically, one must force it on.",it was a miserable machine  an inefficient machine  she thought  the human apparatus for painting or for feeling  it always broke down at the critical moment  heroically  one must force it on ,192,32
3089,3089,450,40,"She stared, frowning.",she stared  frowning ,21,3
3090,3090,450,40,"There was the hedge, sure enough.",there was the hedge  sure enough ,33,6
3091,3091,450,40,But one got nothing by soliciting urgently.,but one got nothing by soliciting urgently ,43,7
3092,3092,450,40,"One got only a glare in the eye from looking at the line of the wall, or from thinking - she wore a grey hat.",one got only a glare in the eye from looking at the line of the wall  or from thinking   she wore a grey hat ,109,25
3093,3093,450,40,She was astonishingly beautiful.,she was astonishingly beautiful ,32,4
3094,3094,450,40,"Let it come, she thought, if it will come.",let it come  she thought  if it will come ,42,9
3095,3095,450,40,For there are moments when one can neither think nor feel.,for there are moments when one can neither think nor feel ,58,11
3096,3096,450,40,"And if one can neither think nor feel, she thought, where is one?",and if one can neither think nor feel  she thought  where is one ,65,13
3097,3097,451,40,"Here on the grass, on the ground, she thought, sitting down, and examining with her brush a little colony of plantains.",here on the grass  on the ground  she thought  sitting down  and examining with her brush a little colony of plantains ,119,21
3098,3098,451,40,For the lawn was very rough.,for the lawn was very rough ,28,6
3099,3099,451,40,"Here sitting on the world, she thought, for she could not shake herself free from the sense that everything this morning was happening for the first time, perhaps for the last time, as a traveller, even though he is half asleep, knows, looking out of the train window, that he must look now, for he will never see that town, or that mule-cart, or that woman at work in the fields, again.",here sitting on the world  she thought  for she could not shake herself free from the sense that everything this morning was happening for the first time  perhaps for the last time  as a traveller  even though he is half asleep  knows  looking out of the train window  that he must look now  for he will never see that town  or that mule cart  or that woman at work in the fields  again ,387,72
3100,3100,451,40,"The lawn was the world; they were up here together, on this exalted station, she thought, looking at old Mr. Carmichael, who seemed (though they had not said a word all this time) to share her thoughts.",the lawn was the world  they were up here together  on this exalted station  she thought  looking at old mr  carmichael  who seemed  though they had not said a word all this time  to share her thoughts ,202,37
3101,3101,451,40,And she would never see him again perhaps.,and she would never see him again perhaps ,42,8
3102,3102,451,40,He was growing old.,he was growing old ,19,4
3103,3103,451,40,"Also, she remembered, smiling at the slipper that dangled from his foot, he was growing famous.",also  she remembered  smiling at the slipper that dangled from his foot  he was growing famous ,95,16
3104,3104,451,40,"People said that his poetry was ""so beautiful.""",people said that his poetry was  so beautiful  ,47,8
3105,3105,451,40,They went and published things he had written forty years ago.,they went and published things he had written forty years ago ,62,11
3106,3106,451,40,"There was a famous man now called Carmichael, she smiled, thinking how many shapes one person might wear, how he was that in the newspapers, but here the same as he had always been.",there was a famous man now called carmichael  she smiled  thinking how many shapes one person might wear  how he was that in the newspapers  but here the same as he had always been ,181,34
3107,3107,451,40,"He looked the same - greyer, rather.",he looked the same   greyer  rather ,36,7
3108,3108,451,40,"Yes, he looked the same, but somebody had said, she recalled, that when he had heard of Andrew Ramsay's death (he was killed in a second by a shell; he should have been a great mathematician) Mr. Carmichael had ""lost all interest in life.""",yes  he looked the same  but somebody had said  she recalled  that when he had heard of andrew ramsay own death  he was killed in a second by a she will  he should have been a great mathematician  mr  carmichael had  lost all interest in life  ,239,44
3109,3109,451,40,What did it mean - that?,what did it mean   that ,24,6
3110,3110,451,40,she wondered.,she wondered ,13,2
3111,3111,451,40,Had he marched through Trafalgar Square grasping a big stick?,had he marched through trafalgar square grasping a big stick ,61,10
3112,3112,451,40,"Had he turned pages over and over, without reading them, sitting in his room in St. John's Wood alone?",had he turned pages over and over  without reading them  sitting in his room in st  john own wood alone ,102,19
3113,3113,451,40,"She did not know what he had done, when he heard that Andrew was killed, but she felt it in him all the same.",she did not know what he had done  when he heard that andrew was killed  but she felt it in him all the same ,109,24
3114,3114,451,40,They only mumbled at each other on staircases; they looked up at the sky and said it will be fine or it won't be fine.,they only mumbled at each other on staircases  they looked up at the sky and said it will be fine or it will not be fine ,118,25
3115,3115,451,40,"But this was one way of knowing people, she thought: to know the outline, not the detail, to sit in one's garden and look at the slopes of a hill running purple down into the distant heather.",but this was one way of knowing people  she thought  to know the outline  not the detail  to sit in one own garden and look at the slopes of a hill running purple down into the distant heather ,191,37
3116,3116,451,40,She knew him in that way.,she knew him in that way ,25,6
3117,3117,451,40,She knew that he had changed somehow.,she knew that he had changed somehow ,37,7
3118,3118,451,40,She had never read a line of his poetry.,she had never read a line of his poetry ,40,9
3119,3119,451,40,"She thought that she knew how it went though, slowly and sonorously.",she thought that she knew how it went though  slowly and sonorously ,68,12
3120,3120,451,40,It was seasoned and mellow.,it was seasoned and mellow ,27,5
3121,3121,451,40,It was about the desert and the camel.,it was about the desert and the camel ,38,8
3122,3122,451,40,It was about the palm tree and the sunset.,it was about the palm tree and the sunset ,42,9
3123,3123,451,40,It was extremely impersonal; it said something about death; it said very little about love.,it was extremely impersonal  it said something about death  it said very little about love ,91,15
3124,3124,451,40,There was an impersonality about him.,there was an impersonality about him ,37,6
3125,3125,451,40,He wanted very little of other people.,he wanted very little of other people ,38,7
3126,3126,451,40,"Had he not always lurched rather awkwardly past the drawing-room window with some newspaper under his arm, trying to avoid Mrs. Ramsay whom for some reason he did not much like?",had he not always lurched rather awkwardly past the drawing room window with some newspaper under his arm  trying to avoid mrs  ramsay whom for some reason he did not much like ,177,31
3127,3127,451,40,"On that account, of course, she would always try to make him stop.",on that account  of course  she would always try to make him stop ,66,13
3128,3128,451,40,He would bow to her.,he would bow to her ,20,5
3129,3129,451,40,He would halt unwillingly and bow profoundly.,he would halt unwillingly and bow profoundly ,45,7
3130,3130,451,40,"Annoyed that he did not want anything of her, Mrs. Ramsay would ask him (Lily could hear her) wouldn't he like a coat, a rug, a newspaper?",annoyed that he did not want anything of her  mrs  ramsay would ask him  lily could hear her  would not he like a coat  a rug  a newspaper ,138,27
3131,3131,451,40,"No, he wanted nothing.",no  he wanted nothing ,22,4
3132,3132,451,40,(Here he bowed.), here he bowed  ,16,3
3133,3133,451,40,There was some quality in her which he did not much like.,there was some quality in her which he did not much like ,57,12
3134,3134,451,40,"It was perhaps her masterfulness, her positiveness, something matter-of-fact in her.",it was perhaps her masterfulness  her positiveness  something matter of fact in her ,84,11
3135,3135,451,40,She was so direct.,she was so direct ,18,4
3136,3136,452,40,(A noise drew her attention to the drawing-room window - the squeak of a hinge. The light breeze was toying with the window.), a noise drew her attention to the drawing room window   the squeak of a hinge  the light breeze was toying with the window  ,125,23
3137,3137,453,40,"There must have been people who disliked her very much, Lily thought (Yes; she realised that the drawing-room step was empty, but it had no effect on her whatever. She did not want Mrs. Ramsay now.) - People who thought her too sure, too drastic.",there must have been people who disliked her very much  lily thought  yes  she realised that the drawing room step was empty  but it had no effect on her whatever  she did not want mrs  ramsay now     people who thought her too sure  too drastic ,246,45
3138,3138,454,40,"Also, her beauty offended people probably.",also  her beauty offended people probably ,42,6
3139,3139,454,40,"How monotonous, they would say, and the same always!",how monotonous  they would say  and the same always ,52,9
3140,3140,454,40,"They preferred another type - the dark, the vivacious.",they preferred another type   the dark  the vivacious ,54,9
3141,3141,454,40,Then she was weak with her husband.,then she was weak with her husband ,35,7
3142,3142,454,40,She let him make those scenes.,she let him make those scenes ,30,6
3143,3143,454,40,Then she was reserved.,then she was reserved ,22,4
3144,3144,454,40,Nobody knew exactly what had happened to her.,nobody knew exactly what had happened to her ,45,8
3145,3145,454,40,"And (to go back to Mr. Carmichael and his dislike) one could not imagine Mrs. Ramsay standing painting, lying reading, a whole morning on the lawn.",and  to go back to mr  carmichael and his dislike  one could not imagine mrs  ramsay standing painting  lying reading  a whole morning on the lawn ,147,26
3146,3146,454,40,It was unthinkable.,it was unthinkable ,19,3
3147,3147,454,40,"Without saying a word, the only token of her errand a basket on her arm, she went off to the town, to the poor, to sit in some stuffy little bedroom.",without saying a word  the only token of her errand a basket on her arm  she went off to the town  to the poor  to sit in some stuffy little bedroom ,149,31
3148,3148,454,40,"Often and often Lily had seen her go silently in the midst of some game, some discussion, with her basket on her arm, very upright.",often and often lily had seen her go silently in the midst of some game  some discussion  with her basket on her arm  very upright ,131,25
3149,3149,454,40,She had noted her return.,she had noted her return ,25,5
3150,3150,454,40,"She had thought, half laughing (she was so methodical with the tea cups), half moved (her beauty took one's breath away), eyes that are closing in pain have looked on you.",she had thought  half laughing  she was so methodical with the tea cups   half moved  her beauty took one own breath away   eyes that are closing in pain have looked on you ,171,31
3151,3151,454,40,You have been with them there.,you have been with them there ,30,6
3152,3152,455,40,"And then Mrs. Ramsay would be annoyed because somebody was late, or the butter not fresh, or the teapot chipped.",and then mrs  ramsay would be annoyed because somebody was late  or the butter not fresh  or the teapot chipped ,112,20
3153,3153,455,40,"And all the time she was saying that the butter was not fresh one would be thinking of Greek temples, and how beauty had been with them there in that stuffy little room.",and all the time she was saying that the butter was not fresh one would be thinking of greek temples  and how beauty had been with them there in that stuffy little room ,169,33
3154,3154,455,40,"She never talked of it - she went, punctually, directly.",she never talked of it   she went  punctually  directly ,56,10
3155,3155,455,40,"It was her instinct to go, an instinct like the swallows for the south, the artichokes for the sun, turning her infallibly to the human race, making her nest in its heart.",it was her instinct to go  an instinct like the swallows for the south  the artichokes for the sun  turning her infallibly to the human race  making her nest in its heart ,171,32
3156,3156,455,40,"And this, like all instincts, was a little distressing to people who did not share it; to Mr. Carmichael perhaps, to herself certainly.",and this  like all instincts  was a little distressing to people who did not share it  to mr  carmichael perhaps  to herself certainly ,135,23
3157,3157,455,40,"Some notion was in both of them about the ineffectiveness of action, the supremacy of thought.",some notion was in both of them about the ineffectiveness of action  the supremacy of thought ,94,16
3158,3158,455,40,"Her going was a reproach to them, gave a different twist to the world, so that they were led to protest, seeing their own prepossessions disappear, and clutch at them vanishing.",her going was a reproach to them  gave a different twist to the world  so that they were led to protest  seeing their own prepossessions disappear  and clutch at them vanishing ,177,31
3159,3159,455,40,Charles Tansley did that too: it was part of the reason why one disliked him.,charles tansley did that too  it was part of the reason why one disliked him ,77,15
3160,3160,455,40,He upset the proportions of one's world.,he upset the proportions of one own world ,40,7
3161,3161,455,40,"And what had happened to him, she wondered, idly stirring the platains with her brush.",and what had happened to him  she wondered  idly stirring the platains with her brush ,86,15
3162,3162,455,40,He had got his fellowship.,he had got his fellowship ,26,5
3163,3163,455,40,He had married; he lived at Golder's Green.,he had married  he lived at golder own green ,43,8
3164,3164,456,40,She had gone one day into a Hall and heard him speaking during the war.,she had gone one day into a hall and heard him speaking during the war ,71,15
3165,3165,456,40,He was denouncing something: he was condemning somebody.,he was denouncing something  he was condemning somebody ,56,8
3166,3166,456,40,He was preaching brotherly love.,he was preaching brotherly love ,32,5
3167,3167,456,40,"And all she felt was how could he love his kind who did not know one picture from another, who had stood behind her smoking shag (""fivepence an ounce, Miss Briscoe"") and making it his business to tell her women can't write, women can't paint, not so much that he believed it, as that for some odd reason he wished it?",and all she felt was how could he love his kind who did not know one picture from another  who had stood behind her smoking shag   fivepence an ounce  miss briscoe   and making it his business to tell her women cannot write  women cannot paint  not so much that he believed it  as that for some odd reason he wished it ,317,61
3168,3168,456,40,"There he was lean and red and raucous, preaching love from a platform (there were ants crawling about among the plantains which she disturbed with her brush - red, energetic, shiny ants, rather like Charles Tansley).",there he was lean and red and raucous  preaching love from a platform  there were ants crawling about among the plantains which she disturbed with her brush   red  energetic  shiny ants  rather like charles tansley  ,216,36
3169,3169,456,40,"She had looked at him ironically from her seat in the half-empty hall, pumping love into that chilly space, and suddenly, there was the old cask or whatever it was bobbing up and down among the waves and Mrs. Ramsay looking for her spectacle case among the pebbles.",she had looked at him ironically from her seat in the half empty hall  pumping love into that chilly space  and suddenly  there was the old cask or whatever it was bobbing up and down among the waves and mrs  ramsay looking for her spectacle case among the pebbles ,265,48
3170,3170,456,40,"""Oh, dear! What a nuisance! Lost again. Don't bother, Mr. Tansley. I lose thousands every summer,"" at which he pressed his chin back against his collar, as if afraid to sanction such exaggeration, but could stand it in her whom he liked, and smiled very charmingly.", oh  dear  what a nuisance  lost again  do not bother  mr  tansley  i lose thousands every summer   at which he pressed his chin back against his collar  as if afraid to sanction such exaggeration  but could stand it in her whom he liked  and smiled very charmingly ,265,46
3171,3171,456,40,He must have confided in her on one of those long expeditions when people got separated and walked back alone.,he must have confided in her on one of those long expeditions when people got separated and walked back alone ,110,20
3172,3172,456,40,"He was educating his little sister, Mrs. Ramsay had told her.",he was educating his little sister  mrs  ramsay had told her ,61,11
3173,3173,456,40,It was immensely to his credit.,it was immensely to his credit ,31,6
3174,3174,456,40,"Her own idea of him was grotesque, Lily knew well, stirring the plantains with her brush.",her own idea of him was grotesque  lily knew well  stirring the plantains with her brush ,89,16
3175,3175,456,40,"Half one's notions of other people were, after all, grotesque.",half one own notions of other people were  after all  grotesque ,62,10
3176,3176,456,40,They served private purposes of one's own.,they served private purposes of one own own ,42,7
3177,3177,456,40,He did for her instead of a whipping-boy.,he did for her instead of a whipping boy ,41,8
3178,3178,456,40,She found herself flagellating his lean flanks when she was out of temper.,she found herself flagellating his lean flanks when she was out of temper ,74,13
3179,3179,456,40,"If she wanted to be serious about him she had to help herself to Mrs. Ramsay's sayings, to look at him through her eyes.",if she wanted to be serious about him she had to help herself to mrs  ramsay own sayings  to look at him through her eyes ,120,24
3180,3180,457,40,She raised a little mountain for the ants to climb over.,she raised a little mountain for the ants to climb over ,56,11
3181,3181,457,40,She reduced them to a frenzy of indecision by this interference in their cosmogony.,she reduced them to a frenzy of indecision by this interference in their cosmogony ,83,14
3182,3182,457,40,"Some ran this way, others that.",some ran this way  others that ,31,6
3183,3183,458,40,"One wanted fifty pairs of eyes to see with, she reflected.",one wanted fifty pairs of eyes to see with  she reflected ,58,11
3184,3184,458,40,"Fifty pairs of eyes were not enough to get round that one woman with, she thought.",fifty pairs of eyes were not enough to get round that one woman with  she thought ,82,16
3185,3185,458,40,"Among them, must be one that was stone blind to her beauty.",among them  must be one that was stone blind to her beauty ,59,12
3186,3186,458,40,"One wanted most some secret sense, fine as air, with which to steal through keyholes and surround her where she sat knitting, talking, sitting silent in the window alone; which took to itself and treasured up like the air which held the smoke of the steamer, her thoughts, her imaginations, her desires.",one wanted most some secret sense  fine as air  with which to steal through keyholes and surround her where she sat knitting  talking  sitting silent in the window alone  which took to itself and treasured up like the air which held the smoke of the steamer  her thoughts  her imaginations  her desires ,303,52
3187,3187,458,40,"What did the hedge mean to her, what did the garden mean to her, what did it mean to her when a wave broke?",what did the hedge mean to her  what did the garden mean to her  what did it mean to her when a wave broke ,107,24
3188,3188,458,40,"(Lily looked up, as she had seen Mrs. Ramsay look up; she too heard a wave falling on the beach.)", lily looked up  as she had seen mrs  ramsay look up  she too heard a wave falling on the beach  ,97,20
3189,3189,458,40,"And then what stirred and trembled in her mind when the children cried, ""How's that? How's that?"" cricketing?",and then what stirred and trembled in her mind when the children cried   how is that  how is that   cricketing ,109,18
3190,3190,458,40,She would stop knitting for a second.,she would stop knitting for a second ,37,7
3191,3191,458,40,She would look intent.,she would look intent ,22,4
3192,3192,458,40,"Then she would lapse again, and suddenly Mr. Ramsay stopped dead in his pacing in front of her and some curious shock passed through her and seemed to rock her in profound agitation on its breast when stopping there he stood over her and looked down at her.",then she would lapse again  and suddenly mr  ramsay stopped dead in his pacing in front of her and some curious shock passed through her and seemed to rock her in profound agitation on its breast when stopping there he stood over her and looked down at her ,257,48
3193,3193,458,40,Lily could see him.,lily could see him ,19,4
3194,3194,459,40,He stretched out his hand and raised her from her chair.,he stretched out his hand and raised her from her chair ,56,11
3195,3195,459,40,"It seemed somehow as if he had done it before; as if he had once bent in the same way and raised her from a boat which, lying a few inches off some island, had required that the ladies should thus be helped on shore by the gentlemen.",it seemed somehow as if he had done it before  as if he had once bent in the same way and raised her from a boat which  lying a few inches off some island  had required that the ladies should thus be helped on shore by the gentlemen ,233,48
3196,3196,459,40,"An old-fashioned scene that was, which required, very nearly, crinolines and peg-top trousers.",an old fashioned scene that was  which required  very nearly  crinolines and peg top trousers ,94,13
3197,3197,459,40,"Letting herself be helped by him, Mrs. Ramsay had thought (Lily supposed) the time has come now.",letting herself be helped by him  mrs  ramsay had thought  lily supposed  the time has come now ,96,17
3198,3198,459,40,"Yes, she would say it now.",yes  she would say it now ,26,6
3199,3199,459,40,"Yes, she would marry him.",yes  she would marry him ,25,5
3200,3200,459,40,"And she stepped slowly, quietly on shore.",and she stepped slowly  quietly on shore ,41,7
3201,3201,459,40,"Probably she said one word only, letting her hand rest still in his.",probably she said one word only  letting her hand rest still in his ,68,13
3202,3202,459,40,"I will marry you, she might have said, with her hand in his; but no more.",i will marry you  she might have said  with her hand in his  but no more ,73,16
3203,3203,459,40,"Time after time the same thrill had passed between them - obviously it had, Lily thought, smoothing a way for her ants.",time after time the same thrill had passed between them   obviously it had  lily thought  smoothing a way for her ants ,119,22
3204,3204,459,40,She was not inventing; she was only trying to smooth out something she had been given years ago folded up; something she had seen.,she was not inventing  she was only trying to smooth out something she had been given years ago folded up  something she had seen ,130,24
3205,3205,459,40,"For in the rough and tumble of daily life, with all those children about, all those visitors, one had constantly a sense of repetition - of one thing falling where another had fallen, and so setting up an echo which chimed in the air and made it full of vibrations.",for in the rough and tumble of daily life  with all those children about  all those visitors  one had constantly a sense of repetition   of one thing falling where another had fallen  and so setting up an echo which chimed in the air and made it full of vibrations ,265,50
3206,3206,460,40,"But it would be a mistake, she thought, thinking how they walked off together, arm in arm, past the greenhouse, to simplify their relationship.",but it would be a mistake  she thought  thinking how they walked off together  arm in arm  past the greenhouse  to simplify their relationship ,143,24
3207,3207,460,40,It was no monotony of bliss - she with her impulses and quicknesses; he with his shudders and glooms.,it was no monotony of bliss   she with her impulses and quicknesses  he with his shudders and glooms ,101,19
3208,3208,460,40,"Oh, no.",oh  no ,7,2
3209,3209,460,40,The bedroom door would slam violently early in the morning.,the bedroom door would slam violently early in the morning ,59,10
3210,3210,460,40,He would start from the table in a temper.,he would start from the table in a temper ,42,9
3211,3211,460,40,He would whizz his plate through the window.,he would whizz his plate through the window ,44,8
3212,3212,460,40,"Then all through the house there would be a sense of doors slamming and blinds fluttering, as if a gusty wind were blowing and people scudded about trying in a hasty way to fasten hatches and make things ship- shape.",then all through the house there would be a sense of doors slamming and blinds fluttering  as if a gusty wind were blowing and people scudded about trying in a hasty way to fasten hatches and make things ship  shape ,216,40
3213,3213,460,40,She had met Paul Rayley like that one day on the stairs.,she had met paul rayley like that one day on the stairs ,56,12
3214,3214,460,40,"They had laughed and laughed, like a couple of children, all because Mr. Ramsay, finding an earwig in his milk at breakfast had sent the whole thing flying through the air on to the terrace outside.",they had laughed and laughed  like a couple of children  all because mr  ramsay  finding an earwig in his milk at breakfast had sent the whole thing flying through the air on to the terrace outside ,198,36
3215,3215,460,40,"'An earwig, Prue murmured, awestruck, 'in his milk.'", an earwig  prue murmured  awestruck   in his milk  ,52,8
3216,3216,460,40,Other people might find centipedes.,other people might find centipedes ,35,5
3217,3217,460,40,"But he had built round him such a fence of sanctity, and occupied the space with such a demeanour of majesty that an earwig in his milk was a monster.",but he had built round him such a fence of sanctity  and occupied the space with such a demeanour of majesty that an earwig in his milk was a monster ,150,30
3218,3218,461,40,"But it tired Mrs. Ramsay, it cowed her a little - the plates whizzing and the doors slamming.",but it tired mrs  ramsay  it cowed her a little   the plates whizzing and the doors slamming ,93,18
3219,3219,461,40,"And there would fall between them sometimes long rigid silences, when, in a state of mind which annoyed Lily in her, half plaintive, half resentful, she seemed unable to surmount the tempest calmly, or to laugh as they laughed, but in her weariness perhaps concealed something.",and there would fall between them sometimes long rigid silences  when  in a state of mind which annoyed lily in her  half plaintive  half resentful  she seemed unable to surmount the tempest calmly  or to laugh as they laughed  but in her weariness perhaps concealed something ,277,46
3220,3220,461,40,She brooded and sat silent.,she brooded and sat silent ,27,5
3221,3221,461,40,"After a time he would hang stealthily about the places where she was - roaming under the window where she sat writing letters or talking, for she would take care to be busy when he passed, and evade him, and pretend not to see him.",after a time he would hang stealthily about the places where she was   roaming under the window where she sat writing letters or talking  for she would take care to be busy when he passed  and evade him  and pretend not to see him ,231,45
3222,3222,461,40,"Then he would turn smooth as silk, affable, urbane, and try to win her so.",then he would turn smooth as silk  affable  urbane  and try to win her so ,74,15
3223,3223,461,40,"Still she would hold off, and now she would assert for a brief season some of those prides and airs the due of her beauty which she was generally utterly without; would turn her head; would look so, over her shoulder, always with some Minta, Paul, or William Bankes at her side.",still she would hold off  and now she would assert for a brief season some of those prides and airs the due of her beauty which she was generally utterly without  would turn her head  would look so  over her shoulder  always with some minta  paul  or william bankes at her side ,278,52
3224,3224,461,40,"At length, standing outside the group the very figure of a famished wolfhound (Lily got up off the grass and stood looking at the steps, at the window, where she had seen him), he would say her name, once only, for all the world like a wolf barking in the snow, but still she held back; and he would say it once more, and this time something in the tone would rouse her, and she would go to him, leaving them all of a sudden, and they would walk off together among the pear trees, the cabbages, and the raspberry beds.",at length  standing outside the group the very figure of a famished wolfhound  lily got up off the grass and stood looking at the steps  at the window  where she had seen him   he would say her name  once only  for all the world like a wolf barking in the snow  but still she held back  and he would say it once more  and this time something in the tone would rouse her  and she would go to him  leaving them all of a sudden  and they would walk off together among the pear trees  the cabbages  and the raspberry beds ,518,101
3225,3225,461,40,They would have it out together.,they would have it out together ,32,6
3226,3226,461,40,But with what attitudes and with what words?,but with what attitudes and with what words ,44,8
3227,3227,461,40,"Such a dignity was theirs in this relationship that, turning away, she and Paul and Minta would hide their curiosity and their discomfort, and begin picking flowers, throwing balls, chattering, until it was time for dinner, and there they were, he at one end of the table, she at the other, as usual.",such a dignity was theirs in this relationship that  turning away  she and paul and minta would hide their curiosity and their discomfort  and begin picking flowers  throwing balls  chattering  until it was time for dinner  and there they were  he at one end of the table  she at the other  as usual ,300,53
3228,3228,462,40,"""Why don't some of you take up botany?.. With all those legs and arms why doesn't one of you...?""", why do not some of you take up botany    with all those legs and arms why does not one of you     ,97,19
3229,3229,462,40,"So they would talk as usual, laughing, among the children.",so they would talk as usual  laughing  among the children ,58,10
3230,3230,462,40,"All would be as usual, save only for some quiver, as of a blade in the air, which came and went between them as if the usual sight of the children sitting round their soup plates had freshened itself in their eyes after that hour among the pears and the cabbages.",all would be as usual  save only for some quiver  as of a blade in the air  which came and went between them as if the usual sight of the children sitting round their soup plates had freshened itself in their eyes after that hour among the pears and the cabbages ,263,51
3231,3231,462,40,"Especially, Lily thought, Mrs. Ramsay would glance at Prue.",especially  lily thought  mrs  ramsay would glance at prue ,59,9
3232,3232,462,40,"She sat in the middle between brothers and sisters, always occupied, it seemed, seeing that nothing went wrong so that she scarcely spoke herself.",she sat in the middle between brothers and sisters  always occupied  it seemed  seeing that nothing went wrong so that she scarcely spoke herself ,146,24
3233,3233,462,40,How Prue must have blamed herself for that earwig in the milk How white she had gone when Mr. Ramsay threw his plate through the window!,how prue must have blamed herself for that earwig in the milk how white she had gone when mr  ramsay threw his plate through the window ,136,26
3234,3234,462,40,How she drooped under those long silences between them!,how she drooped under those long silences between them ,55,9
3235,3235,462,40,"Anyhow, her mother now would seem to be making it up to her; assuring her that everything was well; promising her that one of these days that same happiness would be hers.",anyhow  her mother now would seem to be making it up to her  assuring her that everything was well  promising her that one of these days that same happiness would be hers ,171,32
3236,3236,462,40,"She had enjoyed it for less than a year, however.",she had enjoyed it for less than a year  however ,49,10
3237,3237,463,40,"She had let the flowers fall from her basket, Lily thought, screwing up her eyes and standing back as if to look at her picture, which she was not touching, however, with all her faculties in a trance, frozen over superficially but moving underneath with extreme speed.",she had let the flowers fall from her basket  lily thought  screwing up her eyes and standing back as if to look at her picture  which she was not touching  however  with all her faculties in a trance  frozen over superficially but moving underneath with extreme speed ,269,47
3238,3238,464,40,"She let her flowers fall from her basket, scattered and tumbled them on to the grass and, reluctantly and hesitatingly, but without question or complaint - had she not the faculty of obedience to perfection?",she let her flowers fall from her basket  scattered and tumbled them on to the grass and  reluctantly and hesitatingly  but without question or complaint   had she not the faculty of obedience to perfection ,207,35
3239,3239,464,40,- went too.,  went too ,11,3
3240,3240,464,40,"Down fields, across valleys, white, flower-strewn - that was how she would have painted it.",down fields  across valleys  white  flower strewn   that was how she would have painted it ,91,15
3241,3241,464,40,The hills were austere.,the hills were austere ,23,4
3242,3242,464,40,It was rocky; it was steep.,it was rocky  it was steep ,27,6
3243,3243,464,40,The waves sounded hoarse on the stones beneath.,the waves sounded hoarse on the stones beneath ,47,8
3244,3244,464,40,"They went, the three of them together, Mrs. Ramsay walking rather fast in front, as if she expected to meet some one round the corner.",they went  the three of them together  mrs  ramsay walking rather fast in front  as if she expected to meet some one round the corner ,134,25
3245,3245,465,40,Suddenly the window at which she was looking was whitened by some light stuff behind it.,suddenly the window at which she was looking was whitened by some light stuff behind it ,88,16
3246,3246,465,40,At last then somebody had come into the drawing-room; somebody was sitting in the chair.,at last then somebody had come into the drawing room  somebody was sitting in the chair ,88,15
3247,3247,465,40,"For Heaven's sake, she prayed, let them sit still there and not come floundering out to talk to her.",for heaven own sake  she prayed  let them sit still there and not come floundering out to talk to her ,100,19
3248,3248,465,40,"Mercifully, whoever it was stayed still inside; had settled by some stroke of luck so as to throw an odd-shaped triangular shadow over the step.",mercifully  whoever it was stayed still inside  had settled by some stroke of luck so as to throw an odd shaped triangular shadow over the step ,144,25
3249,3249,465,40,It altered the composition of the picture a little.,it altered the composition of the picture a little ,51,9
3250,3250,465,40,It was interesting.,it was interesting ,19,3
3251,3251,465,40,It might be useful.,it might be useful ,19,4
3252,3252,465,40,Her mood was coming back to her.,her mood was coming back to her ,32,7
3253,3253,465,40,"One must keep on looking without for a second relaxing the intensity of emotion, the determination not to be put off, not to be bamboozled.",one must keep on looking without for a second relaxing the intensity of emotion  the determination not to be put off  not to be bamboozled ,139,25
3254,3254,465,40,One must hold the scene - so - in a vise and let nothing come in and spoil it.,one must hold the scene   so   in a vise and let nothing come in and spoil it ,78,19
3255,3255,465,40,"One wanted, she thought, dipping her brush deliberately, to be on a level with ordinary experience, to feel simply that's a chair, that's a table, and yet at the same time, It's a miracle, it's an ecstasy.",one wanted  she thought  dipping her brush deliberately  to be on a level with ordinary experience  to feel simply that is a chair  that is a table  and yet at the same time  it is a miracle  it is an ecstasy ,205,37
3256,3256,465,40,The problem might be solved after all.,the problem might be solved after all ,38,7
3257,3257,465,40,"Ah, but what had happened?",ah  but what had happened ,26,5
3258,3258,465,40,Some wave of white went over the window pane.,some wave of white went over the window pane ,45,9
3259,3259,465,40,The air must have stirred some flounce in the room.,the air must have stirred some flounce in the room ,51,10
3260,3260,465,40,Her heart leapt at her and seized her and tortured her.,her heart leapt at her and seized her and tortured her ,55,11
3261,3261,466,40,"""Mrs. Ramsay! Mrs. Ramsay!"" she cried, feeling the old horror come back - to want and want and not to have.", mrs  ramsay  mrs  ramsay   she cried  feeling the old horror come back   to want and want and not to have ,107,21
3262,3262,466,40,Could she inflict that still?,could she inflict that still ,29,5
3263,3263,466,40,"And then, quietly, as if she refrained, that too became part of ordinary experience, was on a level with the chair, with the table.",and then  quietly  as if she refrained  that too became part of ordinary experience  was on a level with the chair  with the table ,131,24
